Country, Variable, Unit, Symbol," ""1965"""," ""1970"""," ""1975"""," ""1980"""," ""1985"""," ""1995"""," ""2000"""," ""2002"""," ""2005"""," ""2007"""," ""2010"""," ""2012"""," ""2015"""," ""2017"""," ""2020"""
Afghanistan, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , ,33.06,30.61,30.61,30.61,30.61,30.61,30.61,30.61,30.61,30.61
Afghanistan, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , ,8.49,9.33,11.5,11.23,13.05,10.07,10.76,9.75,9.32,12.67
Afghanistan, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , ,0.09,0.06,0.08,0.07,0.1,0.09,0.1,0.11,0.11,0.12
Afghanistan, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , ,7.48,6.92,13.62,18.54,25.39,36.74,45.65,54.53,57.81,57.21
Afghanistan, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , ,0.19,0.18,0.27,0.35,0.47,0.54,0.65,0.73,0.77,0.8
Afghanistan, SDG 6.4.2. Water Stress, %, E, , ,28.89,46.22,63.56,59.04,54.76,54.76,54.76,54.76,54.76,54.76,54.76,54.76,54.76
Albania, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , ,2.22,3.51, , , , , ,2.12,2.31,1.8
Albania, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , , , ,2.91,2.01,1.76,1.89,1.98, , , 
Albania, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , ,6.59,4.44,6.34,7.35,9.72,11.93,13.83,15.59,19.65,134.43
Albania, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , , , ,0.37,0.57,0.71,1.39,1.44,1.62,1.22,1.72
Albania, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , ,3.59,5.18,5.65,6.82,8.46,11.95,14.08,20.42,21.85,28.53
Albania, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , , , ,2.95,4.2,5.37,6.8,7.31,9.55,8.42,12.1
Albania, SDG 6.4.2. Water Stress, %, E, , , , , ,6.96,11.04,9.99,8.42,7.5,7.05,6.76,5.53,6.56,4.72
Algeria, Agricultural water withdrawal as % of total renewable water resources, %, E, , , ,19.03,22.2, , , , , , ,42.77,53.24,57.18, 
Algeria, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , ,26.27,29.39,31.18,34.65,36.97,40.45, , , ,57.18
Algeria, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , ,270.99,269.65,62,103.23,103.29,150.85,164.76,163.17,170.23,473.48,324.62,272.11
Algeria, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , ,0.27,0.27,0.34,0.38,0.43,0.56,0.64,0.84,0.86,0.99
Algeria, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , ,36.06,43.17,23.44,19.22,20.4,17.57,18.03,20.15,20.49,26.47,23.47,23.87
Algeria, SDG 6.4.1. Water Use Efficiency, USD/m3, E, , , , , , , , , , , ,16.11,15.37,14.55,13.81
Algeria, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , ,13.93,15.15,15.01,16.45,16.67,16.24, , , , 
Algeria, SDG 6.4.2. Water Stress, %, E, ,28.14,35.18,42.21,49.25,70.84,79.26,85.04,92.49,97.46,104.92,109.75,125.99,137.92,137.92
Angola, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , , ,0.14, ,0.1, , , , , , 
Angola, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , ,0.18, ,0.12, ,0.1,0.1,0.1,0.1,0.1,0.1
Angola, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , ,150.18,156.66,127.69,156.18,201.01,201.48,246.84,200.89,196.79,195.15
Angola, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , , ,0.11,0.12,0.1,0.13,0.18,0.2,0.34,0.36,0.32
Angola, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , ,41.96,34.11,65.86,70.2,88.57,123.74,130.97,178.81,167.03,138.48
Angola, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , , ,58.26,66.8,84.82,108.36,124.45,143.13,149.21,142.49,129
Angola, SDG 6.4.2. Water Stress, %, E, , , , , ,1.54,1.7,1.77,1.87,1.87,1.87,1.87,1.87,1.87,1.87
Antigua and Barbuda, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , , , , ,2.5, , ,3.46, , , 
Antigua and Barbuda, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , ,2.34,2.5,2.5, ,2.77,3.19, ,3.46,3.46,3.46
Antigua and Barbuda, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , ,63.8,78.19,62.03,80.19,118.74,67.08,53.99,65.47,88.39,86.94
Antigua and Barbuda, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , , ,0.8,0.97,1.42,1.61,1.33,1.57,1.54,1.87,2.06
Antigua and Barbuda, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , ,167.61,174.82,163.24,173.37,179.14,137.53,130.13,137.56,144.28,125.96
Antigua and Barbuda, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , , ,125.71,115.68,126.79,138.55,101,93.46,100.6,109.84,98.08
Antigua and Barbuda, SDG 6.4.2. Water Stress, %, E, , , , , , , , ,9.81, , ,8.46, , , 
Antigua and Barbuda, SDG 6.4.2. Water Stress, %, I, , , , , ,5.45,7.63,8.5, ,9.42,8.85, ,8.46,8.46,8.46
Argentina, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , ,2.46,2.46, , , , , , , , 
Argentina, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , , , ,2.59,2.79,2.92,3.12,3.19,3.19,3.19,3.19
Argentina, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , ,31.08,21.7,22.93,31.74,35.96,36.1,36.67,35.38,32.55,28.18
Argentina, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , ,0.07,0.07,0.11,0.14,0.16,0.15,0.11,0.09,0.08,0.09
Argentina, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , ,51.89,55.24,39.09,44.25,51.4,54.72,58.86,62.86,65.57,54
Argentina, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , ,11.05,11.88,9.25,10.87,12.29,12.5,13.08,13.55,13.66,11.41
Argentina, SDG 6.4.2. Water Stress, %, E, , , ,7.71,7.79,7.93,8.42,8.79,9.35,9.72,10.27,10.46,10.46,10.46,10.46
Armenia, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , ,24.97,17.62,14.67,19.82,24.33,14.84,27.13,34.41,27.03,25.61
Armenia, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , ,6.17,11.48,17.45,23.32,22.42,13.46,9.82,20.01,19.72,14.83
Armenia, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , ,0.29,0.3,0.46,0.4,0.38,0.46, ,0.29,0.3,0.17
Armenia, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, I, , , , , , , , , , , ,0.28, , , 
Armenia, SDG 6.4.1. Services Water Use Efficiency, USD/m3, E, , , , , ,1.13,2.7,3.79,3.81,4.36,5.95,7.9,11.48,9.39,10.42
Armenia, SDG 6.4.1. Water Use Efficiency, USD/m3, E, , , , , , , , , ,2.58,3.43,2.59,2.62,3.26,3.5
Armenia, SDG 6.4.1. Water Use Efficiency, USD/m3, I, , , , , ,0.78,1.49,2.21,2.43, , , , , , 
Armenia, SDG 6.4.2. Water Stress, %, E, , , , , ,51.06,37.74,34.94,55.9,60.76,42.89,59.33,66.01,57.8,57.09
Australia, Agricultural water withdrawal as % of total renewable water resources, %, E, , , , , ,2.71, , ,2.49, ,1.5,1.95,1.91,2.46,1.74
Australia, Agricultural water withdrawal as % of total renewable water resources, %, I, , , , , , ,3.07,2.91, ,1.99, , , , , 
Australia, SDG 6.4.1. Industrial Water Use Efficiency, USD/m3, E, , , , , , , ,82.12,94.51,96.4,101.95,96.37,89.32,104.27,109.28
Australia, SDG 6.4.1. Irrigated Agriculture Water Use Efficiency, USD/m3, E, , , , , , , , , ,0.43,0.48,0.41,0.42,0.38,0.36
