Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Morocco,MAR,2020,Agricultural land (sq. km),AG.LND.AGRI.K2,303820
Morocco,MAR,2019,Agricultural land (sq. km),AG.LND.AGRI.K2,296119.07
Morocco,MAR,2018,Agricultural land (sq. km),AG.LND.AGRI.K2,305258.072
Morocco,MAR,2017,Agricultural land (sq. km),AG.LND.AGRI.K2,310465.482
Morocco,MAR,2016,Agricultural land (sq. km),AG.LND.AGRI.K2,308750
Morocco,MAR,2015,Agricultural land (sq. km),AG.LND.AGRI.K2,300470
Morocco,MAR,2014,Agricultural land (sq. km),AG.LND.AGRI.K2,300825
Morocco,MAR,2013,Agricultural land (sq. km),AG.LND.AGRI.K2,305850
Morocco,MAR,2012,Agricultural land (sq. km),AG.LND.AGRI.K2,304030
Morocco,MAR,2011,Agricultural land (sq. km),AG.LND.AGRI.K2,301038
Morocco,MAR,2010,Agricultural land (sq. km),AG.LND.AGRI.K2,299883
Morocco,MAR,2009,Agricultural land (sq. km),AG.LND.AGRI.K2,300026
Morocco,MAR,2008,Agricultural land (sq. km),AG.LND.AGRI.K2,299810
Morocco,MAR,2007,Agricultural land (sq. km),AG.LND.AGRI.K2,299600
Morocco,MAR,2006,Agricultural land (sq. km),AG.LND.AGRI.K2,299460
Morocco,MAR,2005,Agricultural land (sq. km),AG.LND.AGRI.K2,299890
Morocco,MAR,2004,Agricultural land (sq. km),AG.LND.AGRI.K2,300410
Morocco,MAR,2003,Agricultural land (sq. km),AG.LND.AGRI.K2,308760
Morocco,MAR,2002,Agricultural land (sq. km),AG.LND.AGRI.K2,302830
Morocco,MAR,2001,Agricultural land (sq. km),AG.LND.AGRI.K2,303700
Morocco,MAR,2000,Agricultural land (sq. km),AG.LND.AGRI.K2,306520
Morocco,MAR,1999,Agricultural land (sq. km),AG.LND.AGRI.K2,306930
Morocco,MAR,1998,Agricultural land (sq. km),AG.LND.AGRI.K2,309760
Morocco,MAR,1997,Agricultural land (sq. km),AG.LND.AGRI.K2,308950
Morocco,MAR,1996,Agricultural land (sq. km),AG.LND.AGRI.K2,309660
Morocco,MAR,1995,Agricultural land (sq. km),AG.LND.AGRI.K2,307490
Morocco,MAR,1994,Agricultural land (sq. km),AG.LND.AGRI.K2,309640
Morocco,MAR,1993,Agricultural land (sq. km),AG.LND.AGRI.K2,307110
Morocco,MAR,1992,Agricultural land (sq. km),AG.LND.AGRI.K2,306160
Morocco,MAR,1991,Agricultural land (sq. km),AG.LND.AGRI.K2,303550
Morocco,MAR,1990,Agricultural land (sq. km),AG.LND.AGRI.K2,303430
Morocco,MAR,1989,Agricultural land (sq. km),AG.LND.AGRI.K2,300640
Morocco,MAR,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,297440
Morocco,MAR,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,296660
Morocco,MAR,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,294970
Morocco,MAR,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,293980
Morocco,MAR,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,293840
Morocco,MAR,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,292730
Morocco,MAR,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,291770
Morocco,MAR,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,290900
Morocco,MAR,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,289300
Morocco,MAR,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,280040
Morocco,MAR,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,279180
Morocco,MAR,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,275000
Morocco,MAR,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,271500
Morocco,MAR,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,269170
Morocco,MAR,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,266300
Morocco,MAR,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,264250
Morocco,MAR,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,261700
Morocco,MAR,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,259330
Morocco,MAR,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,257050
Morocco,MAR,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,254290
Morocco,MAR,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,252380
Morocco,MAR,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,249380
Morocco,MAR,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,247380
Morocco,MAR,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,244200
Morocco,MAR,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,241100
Morocco,MAR,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,238500
